PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00K48,6Qk/6pp/p2B4/2pP4/P1q5/6P1/2P1p2P/5RK1 b - - 0 26,h8g8 f1f8,425,114,90,328,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/vGu9FCAH/black#52,
0HZ4M,5R2/8/5Kpk/5p1p/7P/6r1/8/8 b - - 1 65,g3g4 f8h8,471,90,100,186,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/tYkh2wYL/black#130,
0DdWe,r1bqk2r/5p2/p1p1p3/3pP3/3b3p/4BQ2/PPP3PP/RN3R1K b kq - 5 17,d4b2 f3f7,478,106,78,452,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/HJudhity/black#34,French_Defense French_Defense_Advance_Variation
0Hv5v,7k/pp3rpp/8/8/8/2P5/P5PP/4R2K b - - 0 26,f7f2 e1e8 f2f8 e8f8,455,98,83,308,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/Wu4Itd7H/black#52,
0BXzp,5r1k/p5pp/8/3p4/2q5/2P3P1/PP3Q1P/4R1K1 b - - 0 27,f8f2 e1e8 f2f8 e8f8,491,105,89,278,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/dqNd7LsJ/black#54,
038Ql,r5k1/q4p1p/r2p4/3QpPb1/4P3/1N3P2/1PP4P/2KRR3 w - - 1 26,c1b1 a6a1 b3a1 a7a1,482,107,98,559,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/V2sFzds3#51,
0BRnz,5r1k/pp4pp/8/8/2P5/5QPq/PP1B1P2/4R1K1 b - - 0 30,f8f3 e1e8 f3f8 e8f8,411,88,100,148,backRankMate endgame mate mateIn2 short,https://lichess.org/P7jl9MLZ/black#60,
07zlv,2r4k/6p1/3p2bp/p1q5/Pp2p3/1r2P3/R1P2PPP/Q1R3K1 w - - 0 29,c2b3 c5c1 a1c1 c8c1,487,114,97,439,backRankMate endgame mate mateIn2 short,https://lichess.org/UTMhBMoH#57,
0Fpzf,6k1/5p2/4p1pp/8/8/5B2/6PP/1r3rQK w - - 2 35,g1f1 b1f1,425,100,85,1540,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/8JeS6cZ2#69,
0Mghh,r1b2rk1/2p2pp1/p1pq3p/3p4/3N2nQ/1PN1P3/P1PP2PP/R4RK1 w - - 2 15,h2h3 d6h2,490,112,89,868,master mate mateIn1 middlegame oneMove,https://lichess.org/bkAOCubg#29,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
05332,2b1r2k/2p4p/p2b1ppB/1p1P4/3p4/PB5P/1PP2PP1/3R2K1 w - - 2 26,d1d4 e8e1,463,107,97,909,endgame mate mateIn1 oneMove pillsburysMate,https://lichess.org/e45Ruwvu#51,
076Lz,2rR2k1/5bpp/5p2/p7/1pr1PPP1/2BQ4/PPK4P/6q1 b - - 1 30,c8d8 d3d8 f7e8 d8e8,458,93,100,105,endgame mate mateIn2 short,https://lichess.org/6aNACW1l/black#60,
01ujj,8/K7/8/6kp/8/8/P7/8 w - - 0 46,a7b7 h5h4 a2a4 h4h3 a4a5 h3h2 b7b8 h2h1q,467,108,79,622,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/VOofa0Hd#91,
0KJaY,1r4k1/5ppp/5n2/8/5P2/4P1P1/1Q5P/3R2K1 b - - 0 38,b8b2 d1d8 f6e8 d8e8,460,121,98,850,backRankMate endgame mate mateIn2 short,https://lichess.org/ow9Ybw3o/black#76,
0IoTH,r1bq1Q1k/pp4p1/7p/3pP3/2pP4/2N1b3/PPB3PP/5R1K b - - 2 21,d8f8 f1f8,446,110,93,448,kingsideAttack mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/x0xKwLUt/black#42,
07zsM,2rkr3/3n2Q1/p3p1P1/4PB2/3R1P2/q1p1P3/b1R4P/3K4 b - - 3 32,a2b3 g7d7,475,101,80,382,epauletteMate mate mateIn1 middlegame oneMove,https://lichess.org/nIupINwC/black#64,
0P64b,rn1qr1k1/ppp2ppp/1n3N2/3p4/2P3b1/1P3NP1/P2PQPBP/1R3RK1 b - - 0 15,d8f6 e2e8,492,105,84,704,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/oWzxp0zn/black#30,Alekhine_Defense Alekhine_Defense_Two_Pawns_Attack
07TZ4,r3r1k1/pp1q1pp1/2pb1n1p/4p3/4B3/2P2P1P/PPQ2P2/R1B3RK w - - 5 18,c1h6 d7h3,483,86,86,192,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QCNkdnXo#35,Pirc_Defense Pirc_Defense_Other_variations
04JNz,4r3/1p3pk1/3r4/1pp5/8/8/PPP3P1/1K1R4 w - - 0 25,d1d6 e8e1 d6d1 e1d1,401,87,100,121,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/y6KCjy2x#49,
08j5t,2rq1rk1/4bppp/p1b1pB2/1p6/2pP4/P1N1P3/1PQ2PPP/1BR1R1K1 b - - 0 17,e7f6 c2h7,444,102,89,183,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/79kD6hEc/black#34,Slav_Defense Slav_Defense_Other_variations
0LYZk,r4rk1/pp2npp1/1b2p3/3pq1NP/8/2PQ4/PP1N1P1R/R4K2 b - - 1 21,e5h2 d3h7,457,97,89,250,mate mateIn1 middlegame oneMove,https://lichess.org/KPCNQvRz/black#42,
00c89,2r2rk1/6pp/p1q5/1pn2p2/1B1pPP2/3Pn1QB/1PP2R1P/6RK b - - 3 24,f8f6 g3g7,400,98,55,320,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/qy4azPDa/black#48,
00DU5,r1bq1rk1/5ppp/p2p1b2/1p1Pn3/1P2Q3/P1NB3P/1B3PP1/R4RK1 b - - 2 17,c8b7 e4h7,487,89,78,96,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/sDwtQGBU/black#34,Sicilian_Defense Sicilian_Defense_Delayed_Alapin_Variation
0GGd8,r4rk1/p2b1pp1/1n5p/3p4/3P3q/3QP3/P1B2PPP/2KR3R b - - 2 18,a8c8 d3h7,458,101,94,223,mate mateIn1 middlegame oneMove,https://lichess.org/abHmFarD/black#36,Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation
0INeh,r4rk1/pPp3pp/3b4/4p3/4Q3/2N5/PPP3PP/4Rq1K w - - 2 19,e1f1 f8f1,442,106,69,138,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/SMnpH0w6#37,
08az4,3r2r1/pppQ2R1/4P2k/2b5/6P1/1P6/PBn3PP/RN5K w - - 1 20,d7f7 d8d1 f7f1 d1f1,731,77,82,230,backRankMate mate mateIn2 middlegame short,https://lichess.org/l1BBuKlh#39,
01cFH,8/8/p7/5p1P/4p3/4k3/6P1/3K4 b - - 0 42,e3f4 h5h6 f4e5 h6h7,672,97,90,417,advancedPawn crushing endgame pawnEndgame short,https://lichess.org/Z0vlgtwT/black#84,
05S4S,n1r2rkQ/p2q3p/3P2pP/2p5/1P6/P4R1P/8/5RK1 b - - 1 37,g8h8 f3f8 c8f8 f1f8,655,111,80,206,endgame mate mateIn2 short,https://lichess.org/Y5lZW57V/black#74,
0M9xW,r2q1rk1/pppb1pp1/3p1n1B/4p3/2BbP3/2NP2QP/PPP2PP1/R4RK1 b - - 0 13,d4c3 g3g7,661,103,88,437,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/1hipg0X0/black#26,Russian_Game Russian_Game_Italian_Variation
0OiYT,8/8/8/2n1p2p/pk4pP/R5P1/3K1P2/8 w - - 6 45,a3a1 c5b3 d2e3 b3a1,653,85,100,193,crushing endgame fork short,https://lichess.org/PXp2Q1VY#89,
037Lb,r1bq1rk1/ppp2ppp/3p1n2/2nPp3/1bP1P3/2N2P2/PP1B2PP/R2QKBNR w KQ - 1 8,g1e2 c5d3,667,104,95,238,mate mateIn1 oneMove opening,https://lichess.org/VXgHpl1F#15,Indian_Defense Indian_Defense_Budapest_Defense
09TD1,8/8/8/P7/5p2/3K4/6k1/8 w - - 0 46,d3e2 f4f3 e2e3 f3f2,565,106,77,262,advancedPawn crushing endgame pawnEndgame short,https://lichess.org/nQTRLAA6#91,
